"X","m5id","m4id","aeid","spid","bmad","resp_max","resp_min","max_mean","max_mean_conc","max_med","max_med_conc","logc_max","logc_min","cnst","hill","hcov","gnls","gcov","cnst_er","cnst_aic","cnst_rmse","cnst_prob","hill_tp","hill_tp_sd","hill_ga","hill_ga_sd","hill_gw","hill_gw_sd","hill_er","hill_er_sd","hill_aic","hill_rmse","hill_prob","gnls_tp","gnls_tp_sd","gnls_ga","gnls_ga_sd","gnls_gw","gnls_gw_sd","gnls_la","gnls_la_sd","gnls_lw","gnls_lw_sd","gnls_er","gnls_er_sd","gnls_aic","gnls_rmse","gnls_prob","nconc","npts","nrep","nmed_gtbl","hitc","modl","fitc","coff","actp","modl_er","modl_tp","modl_ga","modl_gw","modl_la","modl_lw","modl_rmse","modl_prob","modl_acc","modl_acb","modl_ac10","chmn"
12546,10482785,10628184,740,"TP0000819G11",2.45637869822485,27.9620853080569,-3.55450236966825,20.1421800947867,2,17.1800947867298,2,2,-0.522878745280338,1,1,1,1,1,0.926335501210122,116.684715569851,8.61699301963356,0.0000000372313853347536,33.1268125984737,9.99027301040281,1.99927094671186,0.0649858187260858,4.06517282021855,2.90154927450024,0.187340126069161,0.239587825860988,82.7261858999619,2.94793905714424,0.880866757426032,19.5542268295285,NA,1.82634718905393,NA,5.42503822494946,NA,2.73055123748278,NA,1.71463998070002,NA,0.187443162914413,NA,86.7275141692385,2.94786066398691,0.119133205342582,6,18,3,1,0,"hill",20,20,0.999999962768615,0.187340126069161,33.1268125984737,1.99927094671186,4.06517282021855,NA,NA,2.94793905714424,0.880866757426032,2.04425567886379,1.86557672722814,1.7645349215438,"Malathion"
12550,10482789,10628188,740,"TP0000819G07",2.45637869822485,13.9978791092259,-1.80275715800636,11.417462000707,0,11.0286320254507,0,0,-2.52287874528034,1,1,1,1,1,1.42300766304283,115.10159447071,5.78885126234734,0.0000000258792679674826,11.1435665004174,1.15274496789226,-0.547103978469022,0.218886406318096,7.99974247167624,71.9859870221342,0.369184080319443,0.218642032217969,80.4158032726586,1.77743493941542,0.880797039847091,11.1453922261709,12.2987631817593,-0.547085195350316,0.265401272349509,7.99975126502505,73.422425917495,0.513782367012337,789.363089611401,7.32804036032115,11230.3749570859,0.369119368241755,0.218639684024793,84.4158029805187,1.77742954727637,0.119202934273641,6,18,3,1,0,"hill",13,20,0.999999974120732,0.369184080319443,11.1435665004174,-0.547103978469022,7.99974247167624,NA,NA,1.77743493941542,0.880797039847091,NA,-0.510782164841435,-0.666388132029952,"Estrone"
12553,10482792,10628191,740,"TP0000819G04",2.45637869822485,68.0131004366812,1.85589519650654,60.589519650655,0,59.7161572052402,0,0,-2.52287874528034,1,1,1,1,1,3.3853738170998,182.385129319869,34.760634114022,0.000000000000000266483958847751,69.3526894977833,7.80247121346193,-0.904736942287246,0.153394034260818,0.853916232700315,0.124818136218556,1.21047031532679,0.221008091341335,110.916550073575,4.15268135862088,0.880797086918372,69.3530005065358,7.80267224932913,-0.904733039247356,0.15339735672421,0.853911055596084,0.124818007249032,0.878775721356497,521.131972333291,8.47474858982433,5025.89584097499,1.21047908529099,0.221008643258422,114.916550243881,4.15267665685251,0.119202913081628,6,18,3,4,1,"hill",42,20,1,1.21047031532679,69.3526894977833,-0.904736942287246,0.853916232700315,NA,NA,4.15268135862088,0.880797086918372,-1.36412723614076,-1.98781729287644,-2.02222654243427,"Spironolactone"
12558,10482797,10628196,740,"TP0000819F11",2.45637869822485,66.1137440758294,8.53080568720379,61.2954186413902,0,61.2559241706161,0,0,-2.52287874528034,1,1,1,1,1,3.60486027402763,188.554542831154,39.6084059578356,0.0000000000000000109652314076538,69.6471110702773,8.56443786206163,-1.28971307364216,0.240739113219839,0.585140300895943,0.0981039688119,1.23453831012824,0.211207309481065,110.704794457588,4.00017115135263,0.880797086600327,69.647491461831,8.56443682417915,-1.28970530254703,0.240738885089103,0.585133420814456,0.0981007538136941,0.75210600707066,429.369611452097,11.1085792470207,6341.78731787102,1.23452857319278,0.211206588328012,114.704794621836,4.00016844699669,0.119202913399673,6,18,3,6,1,"hill",42,20,1,1.23453831012824,69.6471110702773,-1.28971307364216,0.585140300895943,NA,NA,4.00017115135263,0.880797086600327,-1.96453240503017,-2.87380821116148,-2.92050573649281,"17alpha-Estradiol"
12568,10482807,10628206,740,"TP0000819F01",2.45637869822485,2.7659574468085,-7.97872340425532,0.390070921985812,-2,0.74468085106383,-0.522878745280338,0,-2.52287874528034,1,NA,NA,NA,NA,0.624621298366745,86.2575004442936,2.70957722940954,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.624621298366745,NA,NA,NA,NA,NA,2.70957722940954,1,NA,NA,NA,"Genistein"
12573,10482812,10628211,740,"TP0000819E08",2.45637869822485,108.377518557794,60.2332979851538,103.287380699894,0,101.6967126193,0,0,-2.52287874528034,1,1,1,1,0,4.32422605354409,218.592795249929,87.0817702911192,0.00000000000000000000000185159040066131,107.028785473548,6.98310185918868,-2.99401349164183,0.124077946740953,0.385706896055301,0.107503757077785,1.16376326958743,0.226474335139261,109.554656700026,4.03332170547308,0.880797077934761,107.02858797411,NA,-2.99400771026378,NA,0.385710895758364,NA,1.99573571586573,NA,6.33586997020051,NA,1.16376122509131,NA,113.554656699205,4.03332887391917,0.119202922065238,6,18,3,6,1,"hill",40,20,1,1.16376326958743,107.028785473548,-2.99401349164183,0.385706896055301,NA,NA,4.03332170547308,0.880797077934761,-4.64976020930282,-5.92655835729832,-5.46802295115253,"17-Methyltestosterone"
12595,10482834,10628233,740,"TP0000817H12",2.45637869822485,2.50312891113893,-8.6357947434293,0.292031706299541,0,0.625782227784731,0.477121254719662,2,-0.522878745280338,1,NA,NA,NA,NA,0.553368934946127,84.5577226442676,2.72851895438981,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.553368934946127,NA,NA,NA,NA,NA,2.72851895438981,1,NA,NA,NA,"Acephate"
12611,10482850,10628249,740,"TP0000817F08",2.45637869822485,36.1383285302594,-6.97406340057637,22.536023054755,2,17.1181556195965,2,2,-0.522878745280338,1,1,1,1,1,1.5095689892921,126.463271848305,10.3728073238497,0.000100283275854414,16.5182612145882,2.33209624501921,1.63740234244101,1.13041812102402,7.99958077214257,55.9992540446931,0.91967641067725,0.248049817804147,108.302305197312,5.37711780574007,0.880708754673403,16.5185919035777,NA,1.63739926949722,NA,7.99921416343005,NA,3.59089209779113,NA,5.38135991225543,NA,0.919641594383062,NA,112.302305309937,5.37705694254816,0.119190962050742,6,18,3,1,0,"hill",20,20,0.999899716724146,0.91967641067725,16.5182612145882,1.63740234244101,7.99958077214257,NA,NA,5.37711780574007,0.880708754673403,NA,1.62565635320457,1.51811577772973,"Octylbicycloheptenedicarboximide"
12623,10482862,10628261,740,"TP0000817E08",2.45637869822485,22.3054755043228,-8.93371757925072,17.4255523535063,2,15.0432276657061,2,2,-0.522878745280338,1,1,1,1,0,1.7439257528578,126.712577809075,8.2058097480316,0.000232124338222053,26.7665667033954,68.3929135680499,1.89936985551398,1.19665195056264,2.1825358143723,3.49260190279269,1.19608850685464,0.222513608413921,110.230423349604,4.05355586903692,0.880592626014839,26.7665681122752,NA,1.89937371914864,NA,2.18256048825927,NA,3.08204105861093,NA,15.7621190575082,NA,1.1961129159342,NA,114.230423396775,4.05355380570064,0.119175249646939,6,18,3,1,0,"hill",21,20,0.999767875661778,1.19608850685464,26.7665667033954,1.89936985551398,2.1825358143723,NA,NA,4.05355586903692,0.880592626014839,2.1150188383193,1.70678303658512,1.46215251266191,"Fenarimol"
12629,10482868,10628267,740,"TP0000817E02",2.45637869822485,8.4240687679083,-2.46418338108883,6.0553963705826,2,5.44412607449855,2,2,-0.522878745280338,1,NA,NA,NA,NA,0.930397360973757,95.0708826963608,3.22238829186121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,18,3,0,0,"cnst",4,20,0,0.930397360973757,NA,NA,NA,NA,NA,3.22238829186121,1,NA,NA,NA,"2,4-Dinitrophenol"
